Texto,Precio_Kg,Precio_Lt
19 Chiapas La Concordia ,19.36,10.45
19 Chiapas Mezcalapa ,19.36,10.45
19 Chiapas Montecristo de Guerrero ,19.36,10.45
19 Chiapas Nicolás Ruíz ,19.36,10.45
19 Chiapas Ocozocoautla de Espinosa ,19.36,10.45
19 Chiapas Osumacinta ,19.36,10.45
19 Chiapas San Fernando ,19.36,10.45
19 Chiapas San Lucas ,19.36,10.45
19 Chiapas Soyaló ,19.36,10.45
19 Chiapas Suchiapa ,19.36,10.45
19 Chiapas Tecpatán ,19.36,10.45
19 Chiapas Totolapa ,19.36,10.45
19 Chiapas Tuxtla Gutiérrez ,19.36,10.45
19 Chiapas Venustiano Carranza ,19.36,10.45
19 Chiapas Villa Corzo ,19.36,10.45
19 Chiapas Villaflores ,19.36,10.45
20 Chihuahua Camargo ,20.02,10.81
20 Chihuahua La Cruz ,20.02,10.81
20 Chihuahua San Francisco de Conchos ,20.02,10.81
21 Chihuahua Aldama ,20.24,10.93
21 Chihuahua Aquiles Serdán ,20.24,10.93
21 Chihuahua Chihuahua ,20.24,10.93
21 Chihuahua Delicias ,20.24,10.93
21 Chihuahua Rosales ,20.24,10.93
21 Chihuahua Santa Isabel ,20.24,10.93
21 Chihuahua Satevó ,20.24,10.93
22 Chihuahua Bachíniva ,20.21,10.92
22 Chihuahua Bocoyna ,20.21,10.92
22 Chihuahua Carichí ,20.21,10.92
22 Chihuahua Chínipas ,20.21,10.92
22 Chihuahua Cuauhtémoc ,20.21,10.92
22 Chihuahua Cusihuiriachi ,20.21,10.92
22 Chihuahua Dr. Belisario Domínguez ,20.21,10.92
22 Chihuahua Gran Morelos ,20.21,10.92
22 Chihuahua Guazapares ,20.21,10.92
22 Chihuahua Guerrero ,20.21,10.92
22 Chihuahua Maguarichi ,20.21,10.92
22 Chihuahua Moris ,20.21,10.92
22 Chihuahua Ocampo ,20.21,10.92
22 Chihuahua San Francisco de Borja ,20.21,10.92
22 Chihuahua Urique ,20.21,10.92
22 Chihuahua Uruachi ,20.21,10.92
23 Chihuahua Batopilas de Manuel Gómez Morín ,20.33,10.98
23 Chihuahua Guachochi ,20.33,10.98
23 Chihuahua Guadalupe y Calvo ,20.33,10.98
23 Chihuahua Morelos ,20.33,10.98
23 Chihuahua Nonoava ,20.33,10.98
24 Chihuahua Allende ,20.50,11.07
24 Chihuahua Balleza ,20.50,11.07
24 Chihuahua Coronado ,20.50,11.07
24 Chihuahua El Tule ,20.50,11.07
24 Chihuahua Hidalgo del Parral ,20.50,11.07
24 Chihuahua Huejotitán ,20.50,11.07
24 Chihuahua Matamoros ,20.50,11.07
24 Chihuahua Rosario ,20.50,11.07
24 Chihuahua San Francisco del Oro ,20.50,11.07
24 Chihuahua Santa Bárbara ,20.50,11.07
24 Chihuahua Valle de Zaragoza ,20.50,11.07
25 Chihuahua Jiménez ,20.28,10.95
25 Chihuahua López ,20.28,10.95
26 Chihuahua Juárez ,18.34,9.90
26 Chihuahua Ahumada ,19.69,10.63
26 Chihuahua Buenaventura ,19.69,10.63
27 Chihuahua Madera ,20.39,11.01
27 Chihuahua Matachí ,20.39,11.01
27 Chihuahua Temósachic ,20.39,11.01
28 Chihuahua Julimes ,20.26,10.94
28 Chihuahua Meoqui ,20.26,10.94
28 Chihuahua Saucillo ,20.26,10.94
29 Chihuahua Gómez Farías ,20.86,11.27
29 Chihuahua Ignacio Zaragoza ,20.86,11.27
29 Chihuahua Namiquipa ,20.86,11.27
29 Chihuahua Riva Palacio ,20.86,11.27
30 Chihuahua Ascensión ,18.52,10.00
30 Chihuahua Janos ,18.52,10.00
30 Chihuahua Casas Grandes ,19.89,10.74
30 Chihuahua Galeana ,19.89,10.74
30 Chihuahua Nuevo Casas Grandes ,19.89,10.74
30 Sonora Bacadéhuachi ,19.89,10.74
30 Sonora Nácori Chico ,19.89,10.74
31 Chihuahua Coyame del Sotol ,18.95,10.23
31 Chihuahua Guadalupe ,18.95,10.23
31 Chihuahua Manuel Benavides ,18.95,10.23
31 Chihuahua Ojinaga ,18.95,10.23
31 Chihuahua Praxedis G. Guerrero ,18.95,10.23
32 Ciudad de México Álvaro Obregón ,19.17,10.35
32 Ciudad de México Azcapotzalco ,19.17,10.35
32 Ciudad de México Benito Juárez ,19.17,10.35
32 Ciudad de México Coyoacán ,19.17,10.35
32 Ciudad de México Cuajimalpa de Morelos ,19.17,10.35
32 Ciudad de México Cuauhtémoc ,19.17,10.35
32 Ciudad de México Gustavo A. Madero ,19.17,10.35
32 Ciudad de México Iztacalco ,19.17,10.35
32 Ciudad de México Iztapalapa ,19.17,10.35
32 Ciudad de México La Magdalena Contreras ,19.17,10.35
32 Ciudad de México Miguel Hidalgo ,19.17,10.35
32 Ciudad de México Milpa Alta ,19.17,10.35
32 Ciudad de México Tláhuac ,19.17,10.35
32 Ciudad de México Tlalpan ,19.17,10.35
32 Ciudad de México Venustiano Carranza ,19.17,10.35
32 Ciudad de México Xochimilco ,19.17,10.35
32 Hidalgo Tizayuca ,19.17,10.35
32 México Acolman ,19.17,10.35
32 México Amecameca ,19.17,10.35
32 México Apaxco ,19.17,10.35
32 México Atenco ,19.17,10.35
32 México Atizapán de Zaragoza ,19.17,10.35
32 México Atlautla ,19.17,10.35
32 México Chalco ,19.17,10.35
32 México Chiautla ,19.17,10.35
32 México Chicoloapan ,19.17,10.35
32 México Chiconcuac ,19.17,10.35
32 México Chimalhuacán ,19.17,10.35
32 México Coacalco de Berriozábal ,19.17,10.35
32 México Cocotitlán ,19.17,10.35
32 México Cuautitlán ,19.17,10.35
32 México Cuautitlán Izcalli ,19.17,10.35
32 México Ecatepec de Morelos ,19.17,10.35
32 México Ecatzingo ,19.17,10.35
32 México Hueypoxtla ,19.17,10.35
32 México Huixquilucan ,19.17,10.35
32 México Ixtapaluca ,19.17,10.35
32 México Juchitepec ,19.17,10.35
32 México La Paz ,19.17,10.35
32 México Melchor Ocampo ,19.17,10.35
32 México Naucalpan de Juárez ,19.17,10.35
32 México Nextlalpan ,19.17,10.35
32 México Nezahualcóyotl ,19.17,10.35
32 México Otumba ,19.17,10.35
32 México Ozumba ,19.17,10.35
32 México Papalotla ,19.17,10.35
32 México San Martín de las Pirámides ,19.17,10.35
32 México Temamatla ,19.17,10.35
32 México Tepetlaoxtoc ,19.17,10.35
32 México Tepetlixpa ,19.17,10.35
32 México Tepotzotlán ,19.17,10.35
32 México Tequixquiac ,19.17,10.35
32 México Texcoco ,19.17,10.35
32 México Tezoyuca ,19.17,10.35
32 México Tlalmanalco ,19.17,10.35
32 México Tlalnepantla de Baz ,19.17,10.35
32 México Tultepec ,19.17,10.35
32 México Tultitlán ,19.17,10.35
32 México Valle de Chalco Solidaridad ,19.17,10.35
32 México Zumpango ,19.17,10.35
33 Coahuila de Zaragoza Acuña ,19.00,10.26
34 Coahuila de Zaragoza Ocampo ,19.20,10.37
34 Coahuila de Zaragoza Castaños ,20.62,11.13
34 Coahuila de Zaragoza Cuatro Ciénegas ,20.62,11.13
34 Coahuila de Zaragoza Lamadrid ,20.62,11.13
34 Coahuila de Zaragoza Sacramento ,20.62,11.13
34 Coahuila de Zaragoza Sierra Mojada ,20.62,11.13
35 Coahuila de Zaragoza Abasolo ,20.11,10.86
35 Coahuila de Zaragoza Escobedo ,20.11,10.86
36 Coahuila de Zaragoza Francisco I. Madero ,20.82,11.24
37 Coahuila de Zaragoza Guerrero ,18.45,9.96
37 Coahuila de Zaragoza Hidalgo ,18.45,9.96
38 Coahuila de Zaragoza Candela ,19.93,10.76
